path,label,class_idx,source,sha256
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-1.jpg,diospyros_virginiana,12,lab,8a3ca3e9f6899c41eaebaf002459cccc5c8fc3c34826123c8734446e41ce9d11
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-2.jpg,diospyros_virginiana,12,lab,1535ed2733a0ef322fe5a70bbd7287f4a0635acbaff7c94bc332477a0933cd63
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-3.jpg,diospyros_virginiana,12,lab,521b03fb08accc36fd7621c581c58848b200fe4b504efe0b939920244a5f5aec
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-4.jpg,diospyros_virginiana,12,lab,d4123e2790dca8c2cdcaf370d3e56f11498b2727bf72f60f15e1474249c3c659
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-1.jpg,diospyros_virginiana,12,lab,091dabdf446a289925d4e4a941a3c85b50b24012aad5b034e51551d5435cf92e
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-2.jpg,diospyros_virginiana,12,lab,3365e61002ba3f6e085ac6baa8d0307efdf6f563784be0bcd28865513cb1bb92
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-3.jpg,diospyros_virginiana,12,lab,c832b24937d66e7c61cea36880f0a94fc3c6d3ee2530b56372881d593ada45ab
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-4.jpg,diospyros_virginiana,12,lab,17cd5634634edd079c05ec130ef55073be0117489107ccc47a7d7fbeaca170c3
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-1.jpg,diospyros_virginiana,12,lab,d0efa711012d3fbb4b7875cbd894b970d337fb2a7422554d75d02e58623c6f4b
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-2.jpg,diospyros_virginiana,12,lab,f9f636ceb9557bfd2c4ad2b90d6de65b7646582d50467bb0990a1fc2fbbd89fa
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-3.jpg,diospyros_virginiana,12,lab,81b4fe1cb90633e3b2f7f6784865a39e73493807af56dcdfc8b6e91ca341bcd6
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-4.jpg,diospyros_virginiana,12,lab,c271d0b261cacd01aae5e59477a3c46bee8f96ff4229e5c572e4334f6f59628b
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-1.jpg,diospyros_virginiana,12,lab,55a9fdf84cbd662cd2e060ca551cb111321f5eae26d943246832263c0626db7e
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-2.jpg,diospyros_virginiana,12,lab,579b1ef1e72dc2434add7d85d97fffbc7dbc360ad6a338ea26f7e7e8ec2f4178
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-3.jpg,diospyros_virginiana,12,lab,e0a47414d068a22084fa08af4bb0d2b3a38fae128a626d4d128840c6729a2601
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-4.jpg,diospyros_virginiana,12,lab,5ab1383394dcc9489e006c298927220a01d1d7bac08c23f8460217b72ef153c2
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-1.jpg,diospyros_virginiana,12,lab,d71df26ea6c8c7b7fe63e17b8d24e4c5e03d50f2b70599eaa876e5eb5904bd5b
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-2.jpg,diospyros_virginiana,12,lab,97022ac6762e947a3e0911f40d7bdf1f3ae8ff6a5807fbf8882041dfce9c91f9
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-3.jpg,diospyros_virginiana,12,lab,3723e55637f1ce97ccc9e4f561e3fe374ba3edee3cc7464ec1d611b2f7745b43
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-4.jpg,diospyros_virginiana,12,lab,2724c427b6407b5966ea5d6b7ee22fb61cca2b2ac6e266e00a4604f0cd9b67f3
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-1.jpg,diospyros_virginiana,12,lab,0495b3739619a64957b897891a4c59300961746eaf86d4e6e3068c9f49a294a0
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-2.jpg,diospyros_virginiana,12,lab,ee4517b1a1368a271acae76136779fe9a0a0e15733b70e9fb6357abb42088ad7
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-3.jpg,diospyros_virginiana,12,lab,f4770b8d2d64bb040a13cb8f2354c431db8e66e80aeb3abfc46ab091523de776
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-4.jpg,diospyros_virginiana,12,lab,70d61866baac2af4931d198bae933e16aa7255a7f5d05854d4cc913d6163ff6d
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-07-1.jpg,diospyros_virginiana,12,lab,53ce817f63d63c2dd70d81857263165e52346c32068f742f06f5c44c4d68d708
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-07-2.jpg,diospyros_virginiana,12,lab,9435a533f54638eee9040aa64eea3aca7fee989cadaddd29ce7e4ab52a353909
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-07-3.jpg,diospyros_virginiana,12,lab,8a6dad55c05bb98a4f3fcb6b190af2cd4b1fbc666cba394fcdc6d2c0a7db2150
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-07-4.jpg,diospyros_virginiana,12,lab,64516dfb23e6c3bea318472d577d88ce68fdea7882a067ea86e731f84eaf6f92
dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-08-1.jpg,diospyros_virginiana,12,lab,0eb15e30a60e608346acfd7eac4acde937684680ffe519788f7d352d591f8a91
