path,label,source,width,height,mode,aspect_ratio
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-1.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-2.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-3.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-01-4.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-1.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-2.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-3.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-02-4.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-1.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-2.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-3.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-03-4.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-1.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-2.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-3.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-04-4.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-1.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-2.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-3.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-05-4.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-1.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-2.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-3.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
/Users/luna/COMP9444-Tree-Species-Classification/data/raw/5061353/leafsnap-dataset-30subset/dataset/images/lab/Auto_cropped/diospyros_virginiana/pi0196-06-4.jpg,diospyros_virginiana,lab,600,500,RGB,1.2
