sha256,path,label,source
dec2d47387961fd9ddc6741c02c37c137ebcff6a7fe0da93776f48d1d37ddf8c,dataset/images/field/prunus_sargentii/13292228493854.jpg,prunus_sargentii,field
dec2d47387961fd9ddc6741c02c37c137ebcff6a7fe0da93776f48d1d37ddf8c,dataset/images/field/prunus_sargentii/13292233228251.jpg,prunus_sargentii,field
dec2d47387961fd9ddc6741c02c37c137ebcff6a7fe0da93776f48d1d37ddf8c,dataset/images/field/quercus_muehlenbergii/13292245042767.jpg,quercus_muehlenbergii,field
dec2d47387961fd9ddc6741c02c37c137ebcff6a7fe0da93776f48d1d37ddf8c,dataset/images/field/quercus_muehlenbergii/13292254753124.jpg,quercus_muehlenbergii,field
944bf446e90fd8bfd5cda128014a4e3591a5ae7506975dd77aab8f1e81a75efd,dataset/images/field/prunus_sargentii/13292228492425.jpg,prunus_sargentii,field
944bf446e90fd8bfd5cda128014a4e3591a5ae7506975dd77aab8f1e81a75efd,dataset/images/field/prunus_sargentii/13292233227085.jpg,prunus_sargentii,field
944bf446e90fd8bfd5cda128014a4e3591a5ae7506975dd77aab8f1e81a75efd,dataset/images/field/quercus_muehlenbergii/13292245049275.jpg,quercus_muehlenbergii,field
944bf446e90fd8bfd5cda128014a4e3591a5ae7506975dd77aab8f1e81a75efd,dataset/images/field/quercus_muehlenbergii/13292254755809.jpg,quercus_muehlenbergii,field
0ca1e9c519ff62d40b2854753ba6c4d346cad7afc19ac8577aa19115e1bf99f2,dataset/images/field/prunus_sargentii/13292228498618.jpg,prunus_sargentii,field
0ca1e9c519ff62d40b2854753ba6c4d346cad7afc19ac8577aa19115e1bf99f2,dataset/images/field/prunus_sargentii/13292233223507.jpg,prunus_sargentii,field
0ca1e9c519ff62d40b2854753ba6c4d346cad7afc19ac8577aa19115e1bf99f2,dataset/images/field/quercus_muehlenbergii/13292245043719.jpg,quercus_muehlenbergii,field
0ca1e9c519ff62d40b2854753ba6c4d346cad7afc19ac8577aa19115e1bf99f2,dataset/images/field/quercus_muehlenbergii/13292254753760.jpg,quercus_muehlenbergii,field
7200ecf6967c432c97162f729e26f1ac89502c47f43715cd6819b1e3c86aec22,dataset/images/field/prunus_sargentii/13292228490210.jpg,prunus_sargentii,field
7200ecf6967c432c97162f729e26f1ac89502c47f43715cd6819b1e3c86aec22,dataset/images/field/prunus_sargentii/13292233225379.jpg,prunus_sargentii,field
7200ecf6967c432c97162f729e26f1ac89502c47f43715cd6819b1e3c86aec22,dataset/images/field/quercus_muehlenbergii/13292245041958.jpg,quercus_muehlenbergii,field
7200ecf6967c432c97162f729e26f1ac89502c47f43715cd6819b1e3c86aec22,dataset/images/field/quercus_muehlenbergii/13292254754254.jpg,quercus_muehlenbergii,field
0bde29c86d62697f698b0d62aff24ca6cb48bde8c8a180f21a42d9b931c02c36,dataset/images/field/prunus_sargentii/13292228490236.jpg,prunus_sargentii,field
0bde29c86d62697f698b0d62aff24ca6cb48bde8c8a180f21a42d9b931c02c36,dataset/images/field/prunus_sargentii/13292233227943.jpg,prunus_sargentii,field
0bde29c86d62697f698b0d62aff24ca6cb48bde8c8a180f21a42d9b931c02c36,dataset/images/field/quercus_muehlenbergii/13292245045895.jpg,quercus_muehlenbergii,field
0bde29c86d62697f698b0d62aff24ca6cb48bde8c8a180f21a42d9b931c02c36,dataset/images/field/quercus_muehlenbergii/13292254756757.jpg,quercus_muehlenbergii,field
0e2973735c4ee3471a65e7d504b98923f865598c63280bc7ecdd78ee2dcd9073,dataset/images/field/prunus_sargentii/13292228494671.jpg,prunus_sargentii,field
0e2973735c4ee3471a65e7d504b98923f865598c63280bc7ecdd78ee2dcd9073,dataset/images/field/prunus_sargentii/13292233222998.jpg,prunus_sargentii,field
0e2973735c4ee3471a65e7d504b98923f865598c63280bc7ecdd78ee2dcd9073,dataset/images/field/quercus_muehlenbergii/13292245048665.jpg,quercus_muehlenbergii,field
0e2973735c4ee3471a65e7d504b98923f865598c63280bc7ecdd78ee2dcd9073,dataset/images/field/quercus_muehlenbergii/13292254750743.jpg,quercus_muehlenbergii,field
ac18a2ba8eb88c9347b5595f397f15fe35970396a88d3917c22f0318f80cb237,dataset/images/field/prunus_sargentii/13292228492738.jpg,prunus_sargentii,field
ac18a2ba8eb88c9347b5595f397f15fe35970396a88d3917c22f0318f80cb237,dataset/images/field/prunus_sargentii/13292233229588.jpg,prunus_sargentii,field
ac18a2ba8eb88c9347b5595f397f15fe35970396a88d3917c22f0318f80cb237,dataset/images/field/quercus_muehlenbergii/13292245049716.jpg,quercus_muehlenbergii,field
ac18a2ba8eb88c9347b5595f397f15fe35970396a88d3917c22f0318f80cb237,dataset/images/field/quercus_muehlenbergii/13292254751023.jpg,quercus_muehlenbergii,field
ac42e72efdeb0d3c1ada74e5ea27fa484a9b0a5c9fe57e8323f1c15013ff0d04,dataset/images/field/prunus_sargentii/13292228497396.jpg,prunus_sargentii,field
ac42e72efdeb0d3c1ada74e5ea27fa484a9b0a5c9fe57e8323f1c15013ff0d04,dataset/images/field/prunus_sargentii/13292233228782.jpg,prunus_sargentii,field
ac42e72efdeb0d3c1ada74e5ea27fa484a9b0a5c9fe57e8323f1c15013ff0d04,dataset/images/field/quercus_muehlenbergii/13292245042411.jpg,quercus_muehlenbergii,field
ac42e72efdeb0d3c1ada74e5ea27fa484a9b0a5c9fe57e8323f1c15013ff0d04,dataset/images/field/quercus_muehlenbergii/13292254759233.jpg,quercus_muehlenbergii,field
dacf25558113e055554663faaeca24aaeedd2ced17d9dcdfec2ccad6f12a86af,dataset/images/field/prunus_sargentii/13292228492719.jpg,prunus_sargentii,field
dacf25558113e055554663faaeca24aaeedd2ced17d9dcdfec2ccad6f12a86af,dataset/images/field/prunus_sargentii/13292233225898.jpg,prunus_sargentii,field
dacf25558113e055554663faaeca24aaeedd2ced17d9dcdfec2ccad6f12a86af,dataset/images/field/quercus_muehlenbergii/13292245049196.jpg,quercus_muehlenbergii,field
dacf25558113e055554663faaeca24aaeedd2ced17d9dcdfec2ccad6f12a86af,dataset/images/field/quercus_muehlenbergii/13292254751999.jpg,quercus_muehlenbergii,field
b2aeb7d9375dbe0436abad740e7fdf23ffcf173896ca0aea7c8cbf99efc81eef,dataset/images/field/prunus_sargentii/13292228496376.jpg,prunus_sargentii,field
b2aeb7d9375dbe0436abad740e7fdf23ffcf173896ca0aea7c8cbf99efc81eef,dataset/images/field/prunus_sargentii/13292233228968.jpg,prunus_sargentii,field
b2aeb7d9375dbe0436abad740e7fdf23ffcf173896ca0aea7c8cbf99efc81eef,dataset/images/field/quercus_muehlenbergii/13292245047246.jpg,quercus_muehlenbergii,field
