sha256,canonical_path,canonical_source,duplicate_path,label,source
d645d19770ca6d288a31cc6ea6d516201604e24b092fcdc2edb69e6ebc91fb32,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-01-1.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-01-1-828.jpg,maclura_pomifera,lab
5e2d174e9379c0da2e8ae1e988f2e131c050dfec49e051665314ba740bf36287,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-01-2.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-01-2-678.jpg,maclura_pomifera,lab
139ec657d088d84c8a54f1904d3b52317e5b01b007f7342863316918840ae1d2,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-01-3.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-01-3-317.jpg,maclura_pomifera,lab
5502bf9495d2461510e617c76d350fac7eabbe0c9072795bd559f4cee85edfe9,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-01-4.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-01-4-864.jpg,maclura_pomifera,lab
6a4d9bb11291a34862b6dabd73b1f43388d0e19039dd12e374e261009503abdd,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-02-1.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-02-1-188.jpg,maclura_pomifera,lab
5524fcb953840f8e87c5c9e3b9674ad950ffaf97160d8e86e372a8d88add65cd,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-02-2.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-02-2-378.jpg,maclura_pomifera,lab
2a6e5f16f07324892f621460a62fa690448fc38078cdbb8afee402dca6871019,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-02-3.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-02-3-860.jpg,maclura_pomifera,lab
28cf89d193f9dfe1d352aa6a4cc5f27a1ed60f511ae6f2434dc1e1743b3a295b,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-02-4.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-02-4-768.jpg,maclura_pomifera,lab
585f483b1449d16ded58ae6af71949278c47afd838176c3f75b02df988ae21b3,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-03-1.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-03-1-272.jpg,maclura_pomifera,lab
c7ae326c50496f3566e97cb66c8b4b1679bf8756bba126017f98f936f44c7bca,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-03-2.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-03-2-170.jpg,maclura_pomifera,lab
49a48a21b6328a604c28bde6c148ef7da00484b2d5eb33405360f3fe8419d290,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-03-3.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-03-3-142.jpg,maclura_pomifera,lab
9d58cc9b000ae5e82962f53fa6ce00ed67bda9d5b8a8076bffdab8ad84a07e44,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-03-4.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-03-4-689.jpg,maclura_pomifera,lab
0c9dc29d13e6ab6c9f13e6e29941a779ff319f8c8a9d1c51b70c1601a03a4952,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-04-1.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-04-1-035.jpg,maclura_pomifera,lab
f04bc1479726f8d6e52065a002bb22b76e35856ec1fbd00408256b2b31b6723f,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-04-2.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-04-2-364.jpg,maclura_pomifera,lab
890078c83cb7c3b0f9a1ae21d5e7d03734ef516b9fc28574d0ac1df2aebac14b,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-04-3.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-04-3-054.jpg,maclura_pomifera,lab
022370f9a36bcbad73e7d92be67a5b37cb353f7363fea532ab15a0d5e2bcc2bc,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-04-4.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-04-4-659.jpg,maclura_pomifera,lab
b5a4ae5d566baf9a62f20367728aed9bccab6d379749654b3dc479730f1f466c,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-05-1.jpg,lab,dataset/images/lab/Auto_cropped/maclura_pomifera/pi2235-05-1-437.jpg,maclura_pomifera,lab
